gamesPlayed, groundOuts, airOuts, runs, doubles, triples, homeRuns, strikeOuts, baseOnBalls, intentionalWalks, hits, hitByPitch, avg  , atBats, obp  , slg  , ops  , caughtStealing, stolenBases, stolenBasePercentage, groundIntoDoublePlay, numberOfPitches, plateAppearances, totalBases, rbi , leftOnBase, sacBunts, sacFlies, babip, groundOutsToAirouts, catchersInterference, atBatsPerHomeRun, player_id, play_group, season, gamesStarted, era  , inningsPitched, wins, losses, saves, saveOpportunities, holds, blownSaves, earnedRuns, whip , battersFaced, outs , gamesPitched, completeGames, shutouts, strikes, strikePercentage, hitBatsmen, balks, wildPitches, pickoffs, winPercentage, pitchesPerInning, gamesFinished, strikeoutWalkRatio, strikeoutsPer9Inn, walksPer9Inn, hitsPer9Inn, runsScoredPer9, homeRunsPer9, inheritedRunners, inheritedRunnersScored, player_name                 , team_id, position         , team_name            , team_abbreviation, division               , league
         24,         21,      23,   12,       7,       0,        4,         11,           2,                0,   28,          0, 0.341,     82, 0.353, 0.573, 0.926,              0,           0,                     ,                    0,             323,             85.0,         47, 10.0,       27.0,        0,        1, .353 ,                0.91,                    0,            20.50,    647351, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Abraham Toro                ,     111, First Base       , Boston Red Sox       , BOS              , American League East   , American League
         11,         68,      65,   24,      10,       0,       10,         43,          18,                0,   54,          1, 0.239,    226, 0.296, 0.416, 0.712,              2,           8, .800                ,                    5,             954,                 ,         94,     ,           ,        2,        2,      ,                1.05,                    0,                 ,    571578, pitching  ,   2025,         11.0,  3.52,           61.1,  3.0,    5.0,   0.0,               0.0,   0.0,        0.0,       24.0,  1.17,        249.0, 184.0,         11.0,           1.0,      0.0,   598.0, .630            ,        1.0,   0.0,         3.0,      1.0, .375         ,            15.55,           0.0,               2.39,              6.31,         2.64,        7.92,           3.52,         1.47,              0.0,                    0.0, Patrick Corbin              ,     140, Pitcher          , Texas Rangers        , TEX              , American League West   , American League
         27,         31,      34,    8,       2,       0,        2,         18,          17,                1,   22,          3, 0.216,    102, 0.341, 0.294, 0.635,              1,           0, .000                ,                    4,             474,                 ,         30,     ,           ,        2,        1,      ,                0.91,                    0,                 ,    663738, pitching  ,   2025,          2.0,  2.10,           30.0,  3.0,    1.0,   1.0,               1.0,   4.0,        0.0,        7.0,  1.30,        125.0,  90.0,         27.0,           0.0,      0.0,   295.0, .620            ,        3.0,   0.0,         0.0,      0.0, .750         ,            15.80,           6.0,               1.06,              5.40,         5.10,        6.60,           2.40,         0.60,              8.0,                    1.0, Daniel Lynch IV             ,     118, Pitcher          , Kansas City Royals   , KC               , American League Central, American League
         29,         23,      23,    6,       2,       1,        1,         11,           5,                0,   13,          1, 0.188,     69, 0.253, 0.29 , 0.543,              0,           0,                     ,                    4,             271,             76.0,         20,  4.0,       33.0,        1,        0, .211 ,                1.00,                    0,            69.00,    663743, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Nick Fortes                 ,     146, Catcher          , Miami Marlins        , MIA              , National League East   , National League
         51,         38,      30,   20,       7,       0,        7,         40,          18,                1,   35,          0, 0.246,    142, 0.331, 0.444, 0.775,              1,           4, .800                ,                    4,             624,            161.0,         63, 18.0,       52.0,        1,        0, .295 ,                1.27,                    0,            20.29,    682177, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Daniel Schneemann           ,     114, Second Base      , Cleveland Guardians  , CLE              , American League Central, American League
         10,         44,      47,   24,      11,       0,        6,         53,          21,                0,   52,          1, 0.267,    195, 0.339, 0.415, 0.754,              2,          15, .882                ,                    4,             851,                 ,         81,     ,           ,        0,        1,      ,                0.94,                    0,                 ,    665795, pitching  ,   2025,         10.0,  3.99,           49.2,  2.0,    2.0,   0.0,               0.0,   0.0,        0.0,       22.0,  1.47,        218.0, 149.0,         10.0,           0.0,      0.0,   535.0, .630            ,        1.0,   0.0,         3.0,      0.0, .500         ,            17.13,           0.0,               2.52,              9.60,         3.81,        9.42,           4.35,         1.09,              0.0,                    0.0, Edward Cabrera              ,     146, Pitcher          , Miami Marlins        , MIA              , National League East   , National League
         29,         48,      18,   10,       4,       0,        3,         16,           7,                0,   21,          0, 0.204,    103, 0.255, 0.33 , 0.585,              0,           0,                     ,                    3,             364,                 ,         34,     ,           ,        0,        0,      ,                2.67,                    0,                 ,    657612, pitching  ,   2025,          0.0,  2.89,           28.0,  3.0,    1.0,   0.0,               0.0,   5.0,        0.0,        9.0,  1.00,        110.0,  84.0,         29.0,           0.0,      0.0,   257.0, .710            ,        0.0,   0.0,         1.0,      0.0, .750         ,            13.00,           8.0,               2.29,              5.14,         2.25,        6.75,           3.21,         0.96,             33.0,                    8.0, Tim Hill                    ,     147, Pitcher          , New York Yankees     , NYY              , American League East   , American League
         56,         36,      56,   31,       3,       1,       13,         47,          28,                0,   44,          1, 0.24 ,    183, 0.344, 0.481, 0.825,              1,           0, .000                ,                    2,             901,            212.0,         88, 27.0,       69.0,        0,        0, .252 ,                0.64,                    0,            14.08,    663757, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Trent Grisham               ,     147, Outfielder       , New York Yankees     , NYY              , American League East   , American League
         14,         43,      95,   22,      14,       0,        5,         63,          21,                1,   63,          3, 0.241,    261, 0.303, 0.352, 0.655,              4,           4, .500                ,                    4,            1151,                 ,         92,     ,           ,        1,        2,      ,                0.45,                    0,                 ,    694477, pitching  ,   2025,         13.0,  2.84,           69.2,  3.0,    5.0,   0.0,               0.0,   0.0,        0.0,       22.0,  1.21,        288.0, 209.0,         14.0,           0.0,      0.0,   740.0, .640            ,        3.0,   0.0,         0.0,      1.0, .375         ,            16.52,           0.0,               3.00,              8.14,         2.71,        8.14,           2.84,         0.65,              0.0,                    0.0, Chad Patrick                ,     158, Pitcher          , Milwaukee Brewers    , MIL              , National League Central, National League
         33,         26,      15,   12,       2,       0,        0,         18,           4,                0,   17,          2, 0.224,     76, 0.28 , 0.25 , 0.53 ,              1,           8, .889                ,                    1,             303,             82.0,         19,  2.0,       36.0,        0,        0, .293 ,                1.73,                    0,                 ,    542932, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Jon Berti                   ,     112, Third Base       , Chicago Cubs         , CHC              , National League Central, National League
         24,         21,      36,   10,       6,       0,        2,         18,          12,                2,   19,          0, 0.204,     93, 0.292, 0.333, 0.625,              0,           1, 1.000               ,                    0,             416,                 ,         31,     ,           ,        0,        1,      ,                0.58,                    0,                 ,    663767, pitching  ,   2025,          0.0,  3.16,           25.2,  3.0,    3.0,   0.0,               1.0,   4.0,        1.0,        9.0,  1.21,        106.0,  77.0,         24.0,           0.0,      0.0,   251.0, .600            ,        0.0,   0.0,         2.0,      0.0, .500         ,            16.21,           7.0,               1.50,              6.31,         4.21,        6.66,           3.51,         0.70,             16.0,                    2.0, Chase Shugart               ,     134, Pitcher          , Pittsburgh Pirates   , PIT              , National League Central, National League
         43,         43,      37,   11,       6,       0,        1,          6,           5,                0,   27,          0, 0.241,    112, 0.274, 0.321, 0.595,              0,           2, 1.000               ,                    4,             367,            118.0,         36, 11.0,       57.0,        1,        0, .248 ,                1.16,                    0,           112.00,    643289, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Mauricio Dubón              ,     117, Second Base      , Houston Astros       , HOU              , American League West   , American League
         33,         29,      32,   10,       3,       0,        2,         37,          17,                1,   22,          2, 0.188,    117, 0.297, 0.265, 0.562,              1,           8, .889                ,                    0,             543,                 ,         31,     ,           ,        1,        2,      ,                0.91,                    1,                 ,    592094, pitching  ,   2025,          0.0,  1.64,           33.0,  5.0,    2.0,   0.0,               1.0,  16.0,        1.0,        6.0,  1.18,        140.0,  99.0,         33.0,           0.0,      0.0,   344.0, .630            ,        2.0,   0.0,         3.0,      0.0, .714         ,            16.45,           3.0,               2.18,             10.09,         4.64,        6.00,           2.73,         0.55,              5.0,                    3.0, Jason Adam                  ,     135, Pitcher          , San Diego Padres     , SD               , National League West   , National League
         16,         12,      14,    6,       1,       0,        2,         10,           3,                0,   10,          1, 0.217,     46, 0.28 , 0.37 , 0.65 ,              0,           3, 1.000               ,                    0,             191,             50.0,         17,  5.0,       18.0,        0,        0, .235 ,                0.86,                    0,            23.00,    694497, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Evan Carter                 ,     140, Outfielder       , Texas Rangers        , TEX              , American League West   , American League
          4,         16,      18,   15,       1,       1,        4,         25,           4,                0,   23,          2, 0.288,     80, 0.33 , 0.475, 0.805,              0,           0,                     ,                    4,             341,                 ,         38,     ,           ,        0,        2,      ,                0.89,                    0,                 ,    669923, pitching  ,   2025,          4.0,  6.53,           20.2,  1.0,    3.0,   0.0,               0.0,   0.0,        0.0,       15.0,  1.31,         88.0,  62.0,          4.0,           0.0,      0.0,   234.0, .690            ,        2.0,   0.0,         1.0,      0.0, .250         ,            16.50,           0.0,               6.25,             10.89,         1.74,       10.02,           6.53,         1.74,              0.0,                    0.0, George Kirby                ,     136, Pitcher          , Seattle Mariners     , SEA              , American League West   , American League
         57,         41,      36,   36,       9,       1,       12,         82,          37,                3,   46,          3, 0.227,    203, 0.351, 0.458, 0.809,              2,          23, .920                ,                    2,            1006,            245.0,         93, 28.0,       86.0,        0,        2, .306 ,                1.14,                    0,            16.92,    665833, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Oneil Cruz                  ,     134, Outfielder       , Pittsburgh Pirates   , PIT              , National League Central, National League
         32,         29,      28,   11,       5,       1,        1,         29,          12,                1,   24,          1, 0.224,    107, 0.306, 0.318, 0.624,              2,           0, .000                ,                    2,             450,                 ,         34,     ,           ,        2,        1,      ,                1.04,                    0,                 ,    657649, pitching  ,   2025,          0.0,  3.38,           29.1,  3.0,    1.0,   0.0,               1.0,   9.0,        1.0,       11.0,  1.23,        123.0,  88.0,         32.0,           0.0,      0.0,   293.0, .650            ,        1.0,   0.0,         1.0,      0.0, .750         ,            15.34,           2.0,               2.42,              8.90,         3.68,        7.36,           3.38,         0.31,             12.0,                    3.0, Jared Koenig                ,     158, Pitcher          , Milwaukee Brewers    , MIL              , National League Central, National League
          3,         12,      11,    2,       2,       0,        0,         15,           1,                0,   10,          0, 0.213,     47, 0.224, 0.255, 0.479,              0,           1, 1.000               ,                    0,             173,                 ,         12,     ,           ,        0,        1,      ,                1.09,                    0,                 ,    676083, pitching  ,   2025,          0.0,  1.38,           13.0,  0.0,    0.0,   1.0,               1.0,   0.0,        0.0,        2.0,  0.85,         49.0,  39.0,          3.0,           0.0,      0.0,   122.0, .710            ,        0.0,   0.0,         0.0,      0.0,              ,            13.31,           3.0,              15.00,             10.38,         0.69,        6.92,           1.38,         0.00,              0.0,                    0.0, Janson Junk                 ,     146, Pitcher          , Miami Marlins        , MIA              , National League East   , National League
         39,         19,      29,   14,       7,       0,        7,         32,           8,                0,   28,          1, 0.264,    106, 0.316, 0.528, 0.844,              0,           2, 1.000               ,                    4,             494,            117.0,         56, 15.0,       61.0,        0,        2, .304 ,                0.66,                    0,            15.14,    657656, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Ramón Laureano              ,     110, Outfielder       , Baltimore Orioles    , BAL              , American League East   , American League
          5,          2,      10,    1,       1,       0,        0,          4,           3,                0,    4,          1, 0.2  ,     20, 0.333, 0.25 , 0.583,              0,           1, 1.000               ,                    0,             111,                 ,          5,     ,           ,        0,        0,      ,                0.20,                    0,                 ,    663804, pitching  ,   2025,          0.0,  1.59,            5.2,  0.0,    0.0,   0.0,               0.0,   1.0,        0.0,        1.0,  1.24,         24.0,  17.0,          5.0,           0.0,      0.0,    61.0, .550            ,        1.0,   0.0,         2.0,      0.0,              ,            19.59,           0.0,               1.33,              6.35,         4.76,        6.35,           1.59,         0.00,              0.0,                    0.0, Jackson Kowar               ,     136, Pitcher          , Seattle Mariners     , SEA              , American League West   , American League
         39,         46,      29,   31,       6,       0,       12,         21,          25,                3,   40,          4, 0.294,    136, 0.418, 0.603, 1.021,              1,           2, .667                ,                    6,             641,            165.0,         82, 21.0,       60.0,        0,        0, .272 ,                1.59,                    0,            11.33,    606466, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Ketel Marte                 ,     109, Second Base      , Arizona Diamondbacks , AZ               , National League West   , National League
         10,         43,      57,   31,      13,       1,        5,         39,          23,                0,   51,          3, 0.273,    187, 0.356, 0.433, 0.789,              3,          10, .769                ,                    3,             871,                 ,         81,     ,           ,        0,        3,      ,                0.75,                    0,                 ,    682243, pitching  ,   2025,         10.0,  5.73,           48.2,  2.0,    5.0,   0.0,               0.0,   0.0,        0.0,       31.0,  1.52,        216.0, 146.0,         10.0,           0.0,      0.0,   545.0, .630            ,        3.0,   0.0,         2.0,      1.0, .286         ,            17.90,           0.0,               1.70,              7.21,         4.25,        9.43,           5.73,         0.92,              0.0,                    0.0, Bryce Miller                ,     136, Pitcher          , Seattle Mariners     , SEA              , American League West   , American League
         36,         23,      33,   20,       3,       0,        9,         45,          16,                0,   27,          4, 0.214,    126, 0.318, 0.452, 0.77 ,              2,           9, .818                ,                    1,             624,            148.0,         57, 24.0,       73.0,        0,        2, .243 ,                0.70,                    0,            14.00,    665862, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Jazz Chisholm Jr.           ,     147, Second Base      , New York Yankees     , NYY              , American League East   , American League
         50,         47,      41,    6,      13,       0,        2,         34,           8,                0,   35,          1, 0.224,    156, 0.265, 0.346, 0.611,              0,           0,                     ,                    6,             583,            166.0,         54, 16.0,       69.0,        0,        1, .273 ,                1.15,                    0,            78.00,    571657, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Kyle Farmer                 ,     115, Second Base      , Colorado Rockies     , COL              , National League West   , National League
         10,         57,      46,   29,       9,       0,        9,         38,          17,                0,   57,          2, 0.289,    197, 0.35 , 0.472, 0.822,              5,           4, .444                ,                    4,             796,                 ,         93,     ,           ,        0,        1,      ,                1.24,                    0,                 ,    676106, pitching  ,   2025,         10.0,  5.19,           50.1,  2.0,    2.0,   0.0,               0.0,   0.0,        0.0,       29.0,  1.47,        217.0, 151.0,         10.0,           0.0,      0.0,   509.0, .640            ,        2.0,   0.0,         2.0,      0.0, .500         ,            15.81,           0.0,               2.24,              6.79,         3.04,       10.19,           5.19,         1.61,              0.0,                    0.0, Emerson Hancock             ,     136, Pitcher          , Seattle Mariners     , SEA              , American League West   , American League
         28,         19,      32,   12,       3,       0,        7,         25,           8,                1,   28,          1, 0.269,    104, 0.327, 0.5  , 0.827,              6,           3, .333                ,                    0,             416,                 ,         52,     ,           ,        0,        0,      ,                0.59,                    0,                 ,    643338, pitching  ,   2025,          0.0,  3.62,           27.1,  2.0,    1.0,   1.0,               1.0,   4.0,        0.0,       11.0,  1.32,        113.0,  82.0,         28.0,           0.0,      0.0,   268.0, .640            ,        1.0,   0.0,         0.0,      0.0, .667         ,            15.22,           6.0,               3.13,              8.23,         2.63,        9.22,           3.95,         2.30,             12.0,                    2.0, Chad Green                  ,     141, Pitcher          , Toronto Blue Jays    , TOR              , American League East   , American League
         27,         20,      14,   15,       3,       0,        4,         29,          10,                0,   23,          1, 0.271,     85, 0.354, 0.447, 0.801,              1,           5, .833                ,                    2,             377,                 ,         38,     ,           ,        1,        0,      ,                1.43,                    0,                 ,    682254, pitching  ,   2025,          0.0,  5.82,           21.2,  0.0,    1.0,   1.0,               2.0,   8.0,        1.0,       14.0,  1.52,         97.0,  65.0,         27.0,           0.0,      0.0,   255.0, .680            ,        1.0,   0.0,         0.0,      1.0, .000         ,            17.40,           4.0,               2.90,             12.05,         4.15,        9.55,           6.23,         1.66,             13.0,                    6.0, Mason Montgomery            ,     139, Pitcher          , Tampa Bay Rays       , TB               , American League East   , American League
         15,          7,       3,    7,       1,       0,        1,         28,           1,                0,   11,          1, 0.224,     49, 0.255, 0.306, 0.561,              0,           3, 1.000               ,                    1,             227,             51.0,         15,  3.0,       19.0,        0,        0, .500 ,                2.33,                    0,            49.00,    672016, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Denzel Clarke               ,     133, Outfielder       , Athletics            , ATH              , American League West   , American League
         22,         29,      54,   32,       7,       2,        3,         32,          13,                0,   47,          1, 0.296,    159, 0.351, 0.421, 0.772,              1,           5, .833                ,                    4,             670,                 ,         67,     ,           ,        2,        1,      ,                0.54,                    1,                 ,    641302, pitching  ,   2025,          4.0,  5.95,           39.1,  3.0,    6.0,   1.0,               2.0,   1.0,        1.0,       26.0,  1.53,        177.0, 118.0,         22.0,           0.0,      0.0,   447.0, .670            ,        1.0,   1.0,         0.0,      0.0, .333         ,            17.03,           7.0,               2.46,              7.32,         2.97,       10.75,           7.32,         0.69,              4.0,                    1.0, Tyler Alexander             ,     145, Pitcher          , Chicago White Sox    , CWS              , American League Central, American League
         27,         15,      26,   13,       2,       0,        4,         27,          13,                1,   17,          2, 0.205,     83, 0.32 , 0.373, 0.693,              1,           0, .000                ,                    0,             399,                 ,         31,     ,           ,        0,        2,      ,                0.58,                    0,                 ,    592155, pitching  ,   2025,          0.0,  4.76,           22.2,  1.0,    3.0,   1.0,               3.0,   6.0,        2.0,       12.0,  1.32,        100.0,  68.0,         27.0,           0.0,      0.0,   250.0, .630            ,        2.0,   0.0,         1.0,      0.0, .250         ,            17.60,           6.0,               2.08,             10.72,         5.16,        6.75,           5.16,         1.59,             11.0,                    3.0, Cam Booser                  ,     145, Pitcher          , Chicago White Sox    , CWS              , American League Central, American League
         61,         37,      60,   21,       8,       1,        9,         57,          37,                1,   46,          3, 0.235,    196, 0.358, 0.423, 0.781,              0,           3, 1.000               ,                    3,            1034,            240.0,         83, 35.0,       93.0,        0,        4, .276 ,                0.62,                    0,            21.78,    571970, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Max Muncy                   ,     119, Third Base       , Los Angeles Dodgers  , LAD              , National League West   , National League
         25,         24,      32,    9,       4,       0,        4,         29,          11,                1,   18,          2, 0.176,    102, 0.267, 0.333, 0.6  ,              0,           2, 1.000               ,                    4,             492,                 ,         34,     ,           ,        0,        1,      ,                0.75,                    0,                 ,    684320, pitching  ,   2025,          1.0,  2.61,           31.0,  0.0,    0.0,   0.0,               0.0,   8.0,        0.0,        9.0,  0.94,        116.0,  93.0,         25.0,           0.0,      0.0,   294.0, .600            ,        2.0,   1.0,         1.0,      1.0,              ,            15.87,           4.0,               2.64,              8.42,         3.19,        5.23,           2.61,         1.16,             13.0,                    1.0, Yariel Rodríguez            ,     141, Pitcher          , Toronto Blue Jays    , TOR              , American League East   , American League
         24,         36,      28,   14,       8,       0,        2,         28,          17,                1,   31,          1, 0.256,    121, 0.35 , 0.372, 0.722,              1,           2, .667                ,                    4,             558,                 ,         45,     ,           ,        1,        1,      ,                1.29,                    0,                 ,    676130, pitching  ,   2025,          0.0,  3.27,           33.0,  2.0,    1.0,   1.0,               2.0,   2.0,        1.0,       12.0,  1.45,        141.0,  99.0,         24.0,           0.0,      0.0,   337.0, .600            ,        1.0,   1.0,         1.0,      1.0, .667         ,            16.91,           7.0,               1.65,              7.64,         4.64,        8.45,           3.82,         0.55,             18.0,                    6.0, José Buttó                  ,     121, Pitcher          , New York Mets        , NYM              , National League East   , National League
         47,         40,      34,   12,       4,       0,        0,         45,          15,                1,   30,          1, 0.203,    148, 0.279, 0.23 , 0.509,              0,           3, 1.000               ,                    8,             691,            165.0,         34,  8.0,       69.0,        0,        1, .288 ,                1.18,                    0,                 ,    502054, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Tommy Pham                  ,     134, Outfielder       , Pittsburgh Pirates   , PIT              , National League Central, National League
         23,         20,      14,   13,       8,       0,        1,         18,           4,                0,   23,          1, 0.311,     74, 0.35 , 0.459, 0.809,              1,           3, .750                ,                    1,             283,             80.0,         34, 12.0,       31.0,        0,        1, .393 ,                1.43,                    0,            74.00,    663853, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Romy Gonzalez               ,     111, First Base       , Boston Red Sox       , BOS              , American League East   , American League
         43,         21,      46,   13,       5,       0,        5,         37,          21,                0,   26,          2, 0.2  ,    130, 0.32 , 0.354, 0.674,              0,           0,                     ,                    3,             627,            153.0,         46, 14.0,       67.0,        0,        0, .239 ,                0.46,                    0,            26.00,    643376, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Danny Jansen                ,     139, Catcher          , Tampa Bay Rays       , TB               , American League East   , American League
         31,          0,       0,    0,       0,       0,        0,          0,           0,                0,    0,          0, 0.0  ,      0, 0.0  , 0.0  , 0.0  ,              0,           0,                     ,                    0,               0,              0.0,          0,  0.0,        0.0,        0,        0,      ,                    ,                    0,                 ,    643377, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Griffin Jax                 ,     142, Pitcher          , Minnesota Twins      , MIN              , American League Central, American League
         31,         18,      22,   16,       7,       0,        4,         47,           6,                1,   31,          0, 0.263,    118, 0.298, 0.424, 0.722,              0,           3, 1.000               ,                    1,             494,                 ,         50,     ,           ,        0,        0,      ,                0.82,                    0,                 ,    643377, pitching  ,   2025,          0.0,  4.66,           29.0,  1.0,    4.0,   0.0,               4.0,  16.0,        4.0,       15.0,  1.28,        124.0,  87.0,         31.0,           0.0,      0.0,   343.0, .690            ,        0.0,   0.0,         0.0,      1.0, .200         ,            17.03,           2.0,               7.83,             14.59,         1.86,        9.62,           4.97,         1.24,              1.0,                    0.0, Griffin Jax                 ,     142, Pitcher          , Minnesota Twins      , MIN              , American League Central, American League
         30,         19,      24,   10,       2,       2,        6,         38,           6,                0,   22,          0, 0.214,    103, 0.257, 0.447, 0.704,              0,           1, 1.000               ,                    4,             445,                 ,         46,     ,           ,        0,        0,      ,                0.79,                    0,                 ,    641329, pitching  ,   2025,          0.0,  2.79,           29.0,  3.0,    1.0,   2.0,               4.0,   4.0,        2.0,        9.0,  0.97,        109.0,  87.0,         30.0,           0.0,      0.0,   296.0, .670            ,        0.0,   0.0,         0.0,      0.0, .750         ,            15.34,           6.0,               6.33,             11.79,         1.86,        6.83,           3.10,         1.86,             15.0,                    2.0, Bryan Baker                 ,     110, Pitcher          , Baltimore Orioles    , BAL              , American League East   , American League
         13,         68,      75,   55,      24,       2,        7,         41,          21,                0,   85,          5, 0.318,    267, 0.378, 0.502, 0.88 ,              1,          13, .929                ,                    4,            1008,                 ,        134,     ,           ,        1,        1,      ,                0.91,                    1,                 ,    608566, pitching  ,   2025,         13.0,  7.00,           63.0,  2.0,    8.0,   0.0,               0.0,   0.0,        0.0,       49.0,  1.68,        296.0, 189.0,         13.0,           0.0,      0.0,   636.0, .630            ,        5.0,   0.0,         4.0,      0.0, .200         ,            16.00,           0.0,               1.95,              5.86,         3.00,       12.14,           7.86,         1.00,              0.0,                    0.0, Germán Márquez              ,     115, Pitcher          , Colorado Rockies     , COL              , National League West   , National League
          4,          3,       9,    0,       1,       0,        0,          0,           1,                0,    4,          2, 0.25 ,     16, 0.368, 0.313, 0.681,              0,           0,                     ,                    0,              47,                 ,          5,     ,           ,        0,        0,      ,                0.33,                    0,                 ,    641343, pitching  ,   2025,          0.0,  0.00,            4.0,  0.0,    0.0,   0.0,               0.0,   0.0,        0.0,        0.0,  1.25,         19.0,  12.0,          4.0,           0.0,      0.0,    26.0, .550            ,        2.0,   0.0,         0.0,      0.0,              ,            11.75,           4.0,               0.00,              0.00,         2.25,        9.00,           0.00,         0.00,              0.0,                    0.0, Jake Bauers                 ,     158, Outfielder       , Milwaukee Brewers    , MIL              , National League Central, National League
         42,         10,      23,   11,       5,       0,        4,         35,          14,                1,   21,          0, 0.239,     88, 0.34 , 0.432, 0.772,              0,           4, 1.000               ,                    0,             406,            103.0,         38, 17.0,       46.0,        0,        1, .340 ,                0.43,                    0,            22.00,    641343, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Jake Bauers                 ,     158, Outfielder       , Milwaukee Brewers    , MIL              , National League Central, National League
         35,         14,      30,    8,       3,       0,        0,         16,           7,                0,   21,          2, 0.266,     79, 0.333, 0.304, 0.637,              1,           0, .000                ,                    1,             370,             90.0,         24,  4.0,       36.0,        0,        2, .323 ,                0.47,                    0,                 ,    592192, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Mark Canha                  ,     118, Outfielder       , Kansas City Royals   , KC               , American League Central, American League
