gamesPlayed, groundOuts, airOuts, runs, doubles, triples, homeRuns, strikeOuts, baseOnBalls, intentionalWalks, hits, hitByPitch, avg  , atBats, obp  , slg  , ops  , caughtStealing, stolenBases, stolenBasePercentage, groundIntoDoublePlay, numberOfPitches, plateAppearances, totalBases, rbi , leftOnBase, sacBunts, sacFlies, babip, groundOutsToAirouts, catchersInterference, atBatsPerHomeRun, player_id, play_group, season, gamesStarted, era  , inningsPitched, wins, losses, saves, saveOpportunities, holds, blownSaves, earnedRuns, whip , battersFaced, outs , gamesPitched, completeGames, shutouts, strikes, strikePercentage, hitBatsmen, balks, wildPitches, pickoffs, winPercentage, pitchesPerInning, gamesFinished, strikeoutWalkRatio, strikeoutsPer9Inn, walksPer9Inn, hitsPer9Inn, runsScoredPer9, homeRunsPer9, inheritedRunners, inheritedRunnersScored, player_name                 , team_id, position         , team_name            , team_abbreviation, division               , league
          7,         51,      38,   15,       1,       0,        3,         29,          16,                0,   36,          3, 0.237,    152, 0.318, 0.303, 0.621,              1,           1, .500                ,                   10,             642,                 ,         46,     ,           ,        0,        2,      ,                1.34,                    0,                 ,    663568, pitching  ,   2025,          7.0,  3.00,           42.0,  3.0,    1.0,   0.0,               0.0,   0.0,        0.0,       14.0,  1.24,        173.0, 126.0,          7.0,           1.0,      1.0,   400.0, .620            ,        3.0,   0.0,         0.0,      1.0, .750         ,            15.29,           0.0,               1.81,              6.21,         3.43,        7.71,           3.21,         0.64,              0.0,                    0.0, Stephen Kolek               ,     135, Pitcher          , San Diego Padres     , SD               , National League West   , National League
         13,         84,      60,   52,      16,       2,       11,         33,          21,                0,  101,          1, 0.367,    275, 0.411, 0.56 , 0.971,              0,           2, 1.000               ,                    8,            1125,                 ,        154,     ,           ,        1,        2,      ,                1.40,                    0,                 ,    622608, pitching  ,   2025,         12.0,  6.68,           62.0,  1.0,   10.0,   0.0,               0.0,   0.0,        0.0,       46.0,  1.97,        300.0, 186.0,         13.0,           0.0,      0.0,   696.0, .620            ,        1.0,   0.0,         3.0,      0.0, .091         ,            18.15,           0.0,               1.57,              4.79,         3.05,       14.66,           7.55,         1.60,              0.0,                    0.0, Antonio Senzatela           ,     115, Pitcher          , Colorado Rockies     , COL              , National League West   , National League
         26,         15,       6,   13,       2,       1,        2,         13,           3,                0,   24,          0, 0.414,     58, 0.443, 0.586, 1.029,              0,           6, 1.000               ,                    0,             242,             61.0,         34,  9.0,       13.0,        0,        0, .512 ,                2.50,                    0,            29.00,    808975, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Hyeseong Kim                ,     119, Second Base      , Los Angeles Dodgers  , LAD              , National League West   , National League
          1,          1,       5,    2,       1,       0,        1,          0,           0,                0,    2,          0, 0.25 ,      8, 0.25 , 0.75 , 1.0  ,              0,           0,                     ,                    0,              26,                 ,          6,     ,           ,        0,        0,      ,                0.20,                    0,                 ,    669717, pitching  ,   2025,          0.0,  9.00,            2.0,  0.0,    0.0,   0.0,               0.0,   0.0,        0.0,        2.0,  1.00,          8.0,   6.0,          1.0,           0.0,      0.0,    15.0, .580            ,        0.0,   0.0,         0.0,      0.0,              ,            13.00,           1.0,                   ,              0.00,         0.00,        9.00,           9.00,         4.50,              0.0,                    0.0, Will Wilson                 ,     114, Third Base       , Cleveland Guardians  , CLE              , American League Central, American League
         24,          9,      12,    2,       3,       0,        0,         23,           5,                0,    9,          1, 0.176,     51, 0.263, 0.235, 0.498,              0,           1, 1.000               ,                    0,             251,             59.0,         12,  1.0,       26.0,        2,        0, .321 ,                0.75,                    0,                 ,    669717, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Will Wilson                 ,     114, Third Base       , Cleveland Guardians  , CLE              , American League Central, American League
         67,         61,      69,   41,      13,       1,       13,         64,          26,                0,   72,          2, 0.271,    266, 0.34 , 0.474, 0.814,              1,           2, .667                ,                    7,            1078,            294.0,        126, 37.0,      115.0,        0,        0, .312 ,                0.88,                    0,            20.46,    667670, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Brent Rooker                ,     133, Outfielder       , Athletics            , ATH              , American League West   , American League
         64,         69,      78,   35,      17,       2,        6,         32,          19,                0,   67,          2, 0.276,    243, 0.33 , 0.436, 0.766,              1,           6, .857                ,                    0,            1013,            267.0,        106, 32.0,       87.0,        0,        3, .293 ,                0.88,                    0,            40.50,    808982, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Jung Hoo Lee                ,     137, Outfielder       , San Francisco Giants , SF               , National League West   , National League
         31,         21,      43,   10,       5,       1,        4,         23,           9,                0,   22,          1, 0.204,    108, 0.269, 0.38 , 0.649,              1,           0, .000                ,                    2,             474,                 ,         41,     ,           ,        0,        1,      ,                0.49,                    0,                 ,    663574, pitching  ,   2025,          0.0,  3.00,           30.0,  1.0,    1.0,   2.0,               4.0,  13.0,        2.0,       10.0,  1.03,        119.0,  90.0,         31.0,           0.0,      0.0,   307.0, .650            ,        1.0,   0.0,         1.0,      0.0, .500         ,            15.80,           5.0,               2.56,              6.90,         2.70,        6.60,           3.00,         1.20,             14.0,                    5.0, Tony Santillan              ,     113, Pitcher          , Cincinnati Reds      , CIN              , National League Central, National League
         13,         64,      76,   43,      20,       0,       12,         51,          17,                1,   72,          6, 0.275,    262, 0.332, 0.489, 0.821,              2,           3, .600                ,                    4,            1125,                 ,        128,     ,           ,        0,        1,      ,                0.84,                    0,                 ,    694297, pitching  ,   2025,         13.0,  5.51,           65.1,  7.0,    4.0,   0.0,               0.0,   0.0,        0.0,       40.0,  1.36,        286.0, 196.0,         13.0,           0.0,      0.0,   718.0, .640            ,        6.0,   0.0,         2.0,      0.0, .636         ,            17.22,           0.0,               3.00,              7.03,         2.34,        9.92,           5.92,         1.65,              0.0,                    0.0, Brandon Pfaadt              ,     109, Pitcher          , Arizona Diamondbacks , AZ               , National League West   , National League
          9,          4,       2,    1,       1,       0,        0,         12,           3,                0,    3,          0, 0.15 ,     20, 0.261, 0.2  , 0.461,              0,           0,                     ,                    1,             102,             24.0,          4,  2.0,       10.0,        1,        0, .375 ,                2.00,                    0,                 ,    669722, hitting   ,   2025,             ,      ,               ,     ,       ,      ,                  ,      ,           ,           ,      ,             ,      ,             ,              ,         ,        ,                 ,           ,      ,            ,         ,              ,                 ,              ,                   ,                  ,             ,            ,               ,             ,                 ,                       , Logan Davidson              ,     133, First Base       , Athletics            , ATH              , American League West   , American League
